《反恐精英：全球攻势》（CS: GO）延续了 1999 年原作在团队竞技类游戏上取得的成就。 CS: GO 的特色包含全新的地图、人物、武器、全新的游戏模式，并提供翻新后的 CS 经典内容（de_dust2 等）。,['动作'， '免费游玩'],1,https://media.st.dl.pinyuncloud.com/steam/apps/730/header.jpg?t=1612812939,Counter-Strike: Global Offensive,PC,免费游玩,2017年9月15日,Valve,第一人称射击，射击，多人，竞技，动作，团队导向，电竞，战术，第一人称视角，玩家对战，在线合作，合作，策略，军事，战争，困难，贸易，拟真，快节奏，可模组化，
‘无人之地’是一个科幻题材的游戏，需要玩家在一个按程序生成的无限宇宙中探索和生存。,['动作'， '冒险'],2,https://media.st.dl.pinyuncloud.com/steam/apps/275850/header_alt_assets_0.jpg?t=1613651091,No Man's Sky,PC,暂时无价格,2016年8月13日,Hello Games,开放世界，开放世界生存制作，太空，探索，科幻，生存，程序生成，第一人称视角，冒险，单人，沙盒，氛围，制作，太空模拟，多人，独立，动作，模拟，第一人称射击，好评原声音轨，
Sea of Thieves 無論在航行、打鬥或冒險、掠奪上都能讓您深刻體驗海盜生活，成為自立為王的傳奇海盜。,['动作'， '冒险'],3,https://media.st.dl.pinyuncloud.com/steam/apps/1172620/header.jpg?t=1613653891,Sea of Thieves,PC,¥ 116,2020年6月3日,Xbox Game Studios,冒险，多人，开放世界，海盗，动作，合作，帆船，在线合作，玩家对战，第一人称视角，探索，海军，欢乐，玩家对战环境，氛围，大型多人在线，剑术，好评原声音轨，第一人称射击，单人，
新的生命之地。狩猎， 就是本能! 在系列最新作品「Monster Hunter: World」中，玩家可以体验终极的狩猎生活，活用新建构的世界中各种各样的地形与生态环境享受狩猎的惊喜与兴奋。,['动作'],4,https://media.st.dl.pinyuncloud.com/steam/apps/582010/header.jpg?t=1613693233,Monster Hunter: World,PC,¥ 203,2018年8月10日,"CAPCOM Co., Ltd.",合作，多人，动作，开放世界，角色扮演，第三人称视角，角色定制，冒险，奇幻，单人，困难，动作角色扮演，探索，好评原声音轨，重玩价值，氛围，砍杀，日系角色扮演，类魂系列，大型多人在线角色扮演，
An online and local party game of teamwork and betrayal for 4-10 players...in space!,['休闲'],5,https://media.st.dl.pinyuncloud.com/steam/apps/945360/header.jpg?t=1611793703,Among Us,PC,¥ 22,2018年11月17日,Innersloth,多人，在线合作，太空，社交推理，生存，欢乐，2D，合作，心理，本地多人，卡通化，休闲，彩色，独立，科幻，小游戏，外星人，纵轴，玩家对战，本地合作，
《糖豆人: 终极淘汰赛》是一款多人乱斗的闯关综艺游戏，这里可以亲身体验综艺闯关的刺激！在最多可容纳60人的线上竞技场内，一轮又一轮敌我难分的比赛中，刺激和乱斗将会无限升级！,['动作'， '休闲'， '独立'， '大型多人在线'， '体育'],6,https://media.st.dl.pinyuncloud.com/steam/apps/1097150/header_alt_assets_2.jpg?t=1612462108,糖豆人：终极淘汰赛,PC,¥ 58,2020年8月4日,Devolver Digital,多人，欢乐，大逃杀，在线合作，阖家，喜剧，社交聚会游戏，可爱，休闲，物理，大型多人在线，彩色，3D 平台，独立，合作，动作，控制器，好评原声音轨，困难，本地合作，
《战舰世界》将让您免费体验到史诗级的海战场面、300多艘可选的历史经典战舰、策略性和即时战斗游戏性达到完美平衡的线上对战。,['动作'， '免费游玩'， '大型多人在线'， '模拟'],7,https://media.st.dl.pinyuncloud.com/steam/apps/552990/header.jpg?t=1613760343,World of Warships,PC,免费游玩,2017年11月15日,Wargaming Group Limited,海战，免费，海军，多人，二战，玩家对战，军事，战术，团队导向，策略，战争，在线合作，历史，大型多人在线，拟真，合作，射击，模拟，动作，玩家对战环境，
《城市：天际线》是对经典城市模拟类游戏的现代演绎。该游戏引入了全新的游戏玩法元素，让玩家切身体会到创造和维持一座真正城市的兴奋和艰辛，同时扩展了城市建设体验中的一些经久不衰的主题。,['模拟'， '策略'],8,https://media.st.dl.pinyuncloud.com/steam/apps/255710/header.jpg?t=1613384287,Cities: Skylines,PC,¥ 88,2015年3月11日,Paradox Interactive,城市营造，模拟，建造，策略，管理，沙盒，单人，可模组化，经济，资源管理，拟真，模组，重玩价值，休闲，阖家，即时含暂停，现代，好评原声音轨，欢乐，动作，
Red Dead Redemption 2 已荣获超过 175 项年度游戏奖项且获得超过 250 个满分评价，游戏中述说亚瑟·摩根和声名狼藉的范德林德帮派的传奇故事，体验在 19 世纪的最后岁月里横跨美国的亡命之旅。除此之外，还可免费享受 Red Dead 在线模式中与众多玩家共享的逼真世界。,['动作'， '冒险'],9,https://media.st.dl.pinyuncloud.com/steam/apps/1174180/header.jpg?t=1606935465,Red Dead Redemption 2,PC,¥ 249,2019年12月6日,Rockstar Games,冒险，开放世界，西部，动作，剧情丰富，多人，射击，拟真，第三人称射击，单人，氛围，马匹，唯美，好评原声音轨，沙盒，第三人称视角，成人，第一人称视角，血腥，第一人称射击，
《赛博朋克 2077》是一款开放世界游戏，故事发生在夜之城，权力更迭和身体改造是这里不变的主题。扮演一名野心勃勃的雇佣兵：V，追寻一种独一无二的植入体——获得永生的关键。自定义角色义体、技能和玩法，探索包罗万象的城市。您做出的选择也将会对剧情和周遭世界产生影响。,['角色扮演'],10,https://media.st.dl.pinyuncloud.com/steam/apps/1091500/header_schinese.jpg?t=1611573739,赛博朋克 2077,PC,¥ 298,2020年12月10日,CD PROJEKT RED,赛博朋克，开放世界，角色扮演，科幻，未来，单人，第一人称射击，第一人称视角，氛围，探索，剧情丰富，裸露，成人，动作，暴力，好评原声音轨，动作角色扮演，冒险，沉浸式模拟，角色定制，
